#,title,videoUrl,videoId,publishedAt,position
1,Deep Learning - Lecture 1,https://www.youtube.com/watch?v=8dwyUyJl2yo&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=1,8dwyUyJl2yo,2023-03-12T05:37:41Z,0
2,Deep Learning - Lecture 2,https://www.youtube.com/watch?v=ZE9m83tBcfI&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=2,ZE9m83tBcfI,2023-03-12T05:37:41Z,1
3,Deep Learning - Lecture 1 - 101,https://www.youtube.com/watch?v=zkIIR1KdEFc&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=3,zkIIR1KdEFc,2023-03-12T05:37:40Z,2
4,Deep Learning - Lecture 1 - 101 - part1,https://www.youtube.com/watch?v=UwuvcPWq_f4&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=4,UwuvcPWq_f4,2023-03-12T05:37:41Z,3
5,Deep Learning - Lecture 2 - Part1,https://www.youtube.com/watch?v=Nses_xEbOJU&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=5,Nses_xEbOJU,2023-03-12T05:37:41Z,4
6,Deep Learning - Lecture 2 - Part2,https://www.youtube.com/watch?v=ZqNVexT8hBQ&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=6,ZqNVexT8hBQ,2023-03-12T05:37:41Z,5
7,Deep Learning - Lecture 2 - Part3,https://www.youtube.com/watch?v=kFEACnYHh4c&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=7,kFEACnYHh4c,2023-03-12T05:37:40Z,6
8,Deep learning - Lecture 3 -  Deep L-Layer Neural network,https://www.youtube.com/watch?v=BdTVc4vA2hA&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=8,BdTVc4vA2hA,2023-03-12T05:37:40Z,7
9,Deep learning - Lecture 3 -  Setting ML Application,https://www.youtube.com/watch?v=nLg-4O2JBFI&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=9,nLg-4O2JBFI,2023-03-12T05:37:41Z,8
10,Deep Learning Project,https://www.youtube.com/watch?v=lbPlbJlQwBI&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=10,lbPlbJlQwBI,2023-03-20T06:57:49Z,9
11,Depp Learning - Train/Dev/Test datasets - ML Recipe,https://www.youtube.com/watch?v=RrutwAY8eZA&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=11,RrutwAY8eZA,2023-03-20T13:00:32Z,10
12,Deep Learning - L1 & L2 Regularization,https://www.youtube.com/watch?v=oPrh7IUvXFs&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=12,oPrh7IUvXFs,2023-03-20T06:59:25Z,11
13,Deep Learning - Dropout regularization,https://www.youtube.com/watch?v=kELXSTwWstU&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=13,kELXSTwWstU,2023-03-20T12:38:15Z,12
14,Deep Learning - Other Regulation Methods - Data Augmentation,https://www.youtube.com/watch?v=XRs3IPDRvtA&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=14,XRs3IPDRvtA,2023-03-20T12:39:41Z,13
15,Deep Learning - Normalizing Inputs,https://www.youtube.com/watch?v=H94kW1V6das&list=PL39RMbpB79NOmRg7j6eIJ_nZg8B4avBCP&index=15,H94kW1V6das,2023-03-20T12:40:30Z,14
